项目名,项目难度,技术领域,项目简述,项目产出要求
基于MindSpore的YOLOv12实现智能交通分析,进阶,AI,<p>交通管理和道路安全对于现代智慧城市至关重要。检测交通违规行为、确保道路安全和改善城市交通需要创新的解决方案。这就是“智能交通监控：使用 YOLOv12N 进行实时闭路电视分析”项目的用武之地。本项目需要基于MindSpore+Ascend迁移YOLO12模型开发应用。</p>,"1.基于MindSpore框架和套件，迁移Yolo12模型，精度性能达到论文水平。
2. 基于Yolo12模型，完成一个交通安全的案例应用:检测紧急车道违规并识别阻碍紧急车辆的车辆;分析基于车道的交通流速和拥堵情况，以确定交通状况;对车辆进行计数并对类型进行分类，以提供有关不同车辆类型的数据。
3.  完成以下功能模块的开发:
 - 3.1：LaneDetector类：①加载多边形数据：从 JSON 文件中读取泳道区域并缩放它们以匹配视频分辨率。 ②确定泳道位置：使用其边界框检查检测到的车辆是否在车道内。③跟踪车辆数量和速度：计算车辆数量并计算每条车道的平均速度。
 - 3.2：LaneVehicleProcessor 类：①集成 YOLO 和 ByteTrack：YOLO 检测车辆，而 ByteTrack 跨帧跟踪它们。②分析检测区域：将检测到的车辆与预定义的车道区域进行比较。显示流量数据：使用 OpenCV 和 Supervision 库在视频上叠加实时数据。
 - 3.3：流量管理：①入口和出口区域：跟踪车辆进出的车道。②速度估计：为车辆分配随机但真实的速度值。③紧急车道警告：检测应急车道上的车辆并发出警告。
"
SimpleRenderer ⾼性能渲染优化与结构优化,进阶,"x86,GCC,Perf","<p class=""p1""><strong>SimpleRenderer 是⼀个⽤ C/C++ 编写的软件渲染器，⽬前已实现基本的渲染管线，但在处理复杂场景时存在性</strong></p><p class=""p1""><strong>能瓶颈。本</strong></p><p class=""p1""><strong>项</strong></p><p class=""p1""><strong>⽬旨在不改变渲染器的基本架构的前提下，通过优化光栅化算法、改进内存访问模式、减少线程</strong></p><p class=""p1""><strong>同步开销等⽅式，显著提升渲染性能。</strong></p><p class=""p1""><strong>项</strong></p><p class=""p1""><strong>⽬将保持软件渲染器的教育价值，同时提供更加流畅的⽤户体验，使</strong></p><p class=""p1""><strong>学⽣能够学</strong></p><p class=""p1""><strong>习实⽤的图形学性能优化技术。</strong></p>","1. 光栅化算法优化
a. 实现基于块/图块的光栅化算法（Tile-based Rasterization），代替现有的像素级处理⽅式
b. 增加视锥体裁剪和背⾯剔除测试，提前过滤不可⻅三⻆形
2. 内存管理优化
a. 预分配⽚段缓冲区，避免渲染过程中的动态内存分配
b. 改进数据布局，提⾼缓存利⽤率
c. 实现共享内存机制，减少线程间的重复内存访问
3. 深度测试优化
a. 实现早期深度测试，在光栅化阶段直接剔除被遮挡的⽚段
b. 减少⽚段⽣成和着⾊器调⽤次数
c. 优化深度缓冲区访问模式
4. 多线程架构改进
a. 减少线程间的数据合并次数和同步开销
"
国产数据库读写组件开发,进阶,"Database,Hadoop,HDFS","<p><strong><span style=""font-size:18px"">项目背景：</span></strong></p><p><span style=""font-size:11ptpx""><span style=""color:#333333""><span style=""letter-spacing:0ptpx"">openGauss 和 KingbaseES（金仓）作为两款主流的国产数据库管理系统，凭借其高性能、高可用性和安全性，在政府、金融、能源等多个关键行业得到了广泛应用。为了提升πFlow平台的数据源兼容性，并推动数据处理流程的国产化转型，有必要开发针对openGauss和 KingbaseES（金仓）数据库的读写组件，实现高效的双向数据交互。</span></span></span></p><p></p><p><span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:18px""><strong>项目内容</strong>：</span></span></span><br/><strong><span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">一、数据库技术调研</span></span></span></strong><br/> <span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">●</span></span></span> <span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">研究openGauss和和 KingbaseES（金仓）数据库的技术特点及接口规范，包括其SQL语法、事务管理机制以及批量操作性能优化策略。</span></span></span><br/><strong><span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">二、四个核心组件开发</span></span></span></strong><br/> <span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">●</span></span></span> <span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">openGauss数据库读取组件：负责从openGauss数据库中读取数据，并将数据加载到Spark DataFrame中，为后续的大数据处理提供基础支持。</span></span></span><br/> <span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">●</span></span></span> <span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">openGauss数据库存储组件：负责将上游组件处理后的DataFrame结果存储回openGauss数据库，支持多种存储模式（如插入、更新、批量写入等），以满足不同场景的需求。</span></span></span><br/> <span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">●</span></span></span> <span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">KingbaseES数据库读取组件：负责从KingbaseES数据库中读取数据，并将其加载到Spark DataFrame中，为后续的大数据处理提供基础支持。</span></span></span><br/> <span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">●</span></span></span> <span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">KingbaseES数据库存储组件：负责将上游组件处理后的DataFrame结果存储回KingbaseES数据库，支持多种存储模式（如插入、更新、批量写入等），以满足不同场景的需求。</span></span></span><br/><strong><span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">三、文档编写与发布</span></span></span></strong><br/> <span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">●</span></span></span> <span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">编写详细的文档，包括使用指南、开发文档和测试案例库，确保用户能够快速上手并正确使用该组件。</span></span></span></p><p></p><p><span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:18px""><strong>开发语言</strong>：</span></span></span><br/><span style=""color:#333333""><span style=""letter-spacing:0ptpx""><span style=""font-size:11ptpx"">本项目要求采用Scala语言编写。Scala作为一种多范式编程语言，结合了面向对象和函数式编程的特点，具有简洁、优雅的语法，非常适合Spark生态圈的开发。它能够帮助我们快速构建高效、可扩展的组件，同时无缝集成到πFlow平台中。</span></span></span></p>","1. 四个核心组件开发：1）openGauss数据库读取组件；2）openGauss数据库存储组件；3）KingbaseES数据库读取组件；4）KingbaseES数据库存储组件。

2. 文档编写：编写详细的文档，包括使用指南、开发文档和测试案例库，确保用户能够快速上手并正确使用该组件。

"
Sentinel AI 应用场景 Token 限流调研和实现,进阶,"AI,Web Application","<p><span style=""color:#000000"">Sentinel 作为面向分布式应用场景、多语言异构化服务架构的流量治理组件，以丰富的流量防护能力满足了各种应用场景的限流需求。当下 AI 应用成为广大开发者关注的领域，但是想要将 AI 应用真正用于生产，高可用的能力是必不可少的，由此也出现了很多 AI 应用场景下新的流量防护需求，例如 Token 限流，Token 这个 AI 场景下的常用单位，在作为限流的统计维度时存在着限流时机与统计时机不一致，强需求集群限流等特点。现有的限流能力难以很好地满足需求，因此需要在 Sentinel 中实现 Token 限流的能力，来限制 AI 应用的 Token 消耗，保障 AI 应用的整体稳定性。</span></p>","1. Go 语言 AI 应用框架（eino、langchaingo等）流量防护能力以及需求调研报告
2. 基于 sentinel-golang，构建 Token 限流的能力
 - 2.1：在 Token 超出阈值时进行限流，支持不同的统计周期以及统计维度
 - 2.2：Token 限流支持集群模式
 - 2.3：至少支持 1-2 个 Go 语言 AI 应用框架（例如eino、langchaingo等）
3. 编写 Token 限流的核心设计文档、用户使用文档
4. 进阶：支持限流后的动态 fallback 能力
"
MateChat模板VSCode插件兼容支持,基础,"UI,Vue.js",<p>根据用户使用习惯的不同，用户可能希望通过在VSCode中使用matechat来进行与模型的对话，目前matechat仅支持了pc端。本项目要求提供一套基于pc端一站式解决方案模板自动生成VSCode插件模板的方案，在pc端一站式解决方案的模板迭代后，通过脚本或插件的方式，自动更新VSCode插件的模板，不再需要人工维护多份模板。</p>,"1、编写一个脚本或插件，用于将pc端的一站式解决方案模板自动生成VSCode插件模板
2、脚本或插件，尽量使用简单
"
构建AI+硬件陪伴玩具,基础,"Chip Design/Verification,Programming Language",<p>小X宝是面向多病种患者和家属提供辅助信息的平台，从2024年开始已经在多个平台完成了线上版本应用搭建，逐渐我们发现患者和家属还需要更多陪伴和关爱，不仅仅是咨询信息。所以在本期项目中我们发布《AI+硬件》的开源项目，帮助使用者能够和AI硬件陪伴玩具进行对话、获取及时信息、获得陪伴。</p><p><br/></p><p>除了小X宝平台，在沟通中发现很多公益和开发者团队希望将已经有的Agent软件落地到硬件中，无论是Agent还是AI硬件不只是属于少数头部玩家团队，更应该是通过开源项目推出适用于不同平台的开源框架和教程，帮助小X宝、帮助更多公益和其他非公益开发者团队构建AI硬件项目。</p><p><br/></p><p>软件层包括扣子、Dify、FastGPT、腾讯混元等，这些都是标准化的Agent软件，希望嵌入到硬件中提供语音交互功能。功能上包括1V1心里咨询、互动聊天、通过Agent获取信息、通过语音方式记录美好时光等等。硬件上包括普通芯片和玩偶，在本开源项目中核心关注软硬件结合与适配。</p><p><br/></p><p>这是一次开源挑战，参与该项目你将从0到1获得一个完整项目开发的机会，将获得包括产品设计、软件编码、硬件开发以及项目管理的能力，并且由你参与完成的这个开源项目将会让更多团队快速构建自己的AI+硬件项目。</p>,"1. 对Agent封装，能够通过软件方式进行调用
2. 通过硬件能够进行基础对话
3. 和硬件进行对话的数据能够记录保存，对数据进行可视化展示
"
基于 Spring AI Alibaba 的本地可观测与调试平台（前端）,基础,Vue.js,<p>1. 项目背景</p><p>本项目属于 Spring AI Alibaba 社区本地开发调试平台的一部分，平台涵盖前端与后端开发，本项目主要完成前端部分。该平台用于快速跟踪定位Agent运行链路、可视化快速与 Agent 交互等，需要提供sdk埋点、graph埋点、可视化平台后端逻辑、沙箱运行环境与通信协议实现等。</p><p><br/>2. 学生职责&amp;目标：</p><p>在这个项目中，学生将和社区导师与开发者一起平台前端部分开发，重点完成可视化链路展示、agent交互界面开发、prompt管理、页面交互效果优化等。<br/><br/>3. 学生要求&amp;技术栈</p><ul><li>熟练掌握 vue、react 等相关前端技术栈</li><li>熟悉 AI Agent 开发相关概念</li></ul>,"1. 在这个项目中，学生将和社区导师与开发者一起平台前端部分开发，重点完成可视化链路展示、agent交互界面开发、prompt管理、页面交互效果优化等。
"
openGauss 向量数据库集成Llama Stack,基础,"Database,AI",<p>实现Llama Stack与openGauss的适配，构建基于该数据库的LLM应用全栈解决方案，输出各层对接代码及部署方案。</p>,"1. 开发openGauss向量存储对接层，支持索引构建与检索。
2. 构建从数据接入到API服务的完整案例，输出包含监控方案的部署文档，代码合入社区。
"
运行时渲染解决方案,进阶,"UI,Vue.js","<p><span style=""color:#494949""><span style=""font-size:16px""><span style=""background-color:#ffffff"">当前TinyEngine仅支持出码方案，本赛题需要实现运行时渲染功能，能够支持开发态运行时预览与生产态部署运行。</span></span></span></p>","1. 实现运行时渲染模块，支持设计态、预览态与生产运行场景，并统一渲染能力(重构当前画布与预览渲染能力)。
2. 实现现上预览、部署运行能力。
3. 确保运行时渲染性能，避免性能瓶颈。(与出码方案性能相比不能有较大差距。建议指标：中等复杂度页面首屏≤2s, TTI≤3.5s)
4. 提供详细的方案文档、使用文档，确保用户能够轻松使用该功能。
5. 界面引导清晰，交互友好，无明显问题；代码逻辑清晰，模块划分合理，可维护性强，符合项目开发规范。
"
基于MindSpore Quantum实现薛定谔-海森堡变分算法,基础,AI,<p>任务背景：</p><p>目前对于XXZ等自旋模型的基态或者化学分子的基态求解这个问题，VQE是一种可以高精度的方法，但是VQE方法目前局限于对小规模系统的求解。当系统规模增加的时候，为了实现高精度求解，VQE线路的层数需要增加，且变分参数的训练也会非常耗费资源。因此，最近一种薛定谔-海森堡变分算法被提出，用来减少量子线路所需层数，这种方法将部分的训练开销转移到可以被经典高效模拟的Clifford线路，因此是一种更加高效的方法，探究这个方法的适用场景和局限性非常重要。</p><p>任务需求：</p><p>基于MindSpore Quantum框架实现薛定谔-海森堡变分算法最新版本复现薛定谔-海森堡变分算法，对于XXZ自旋模型，能够高效实现求解，相比于传统的VQE提升性能。</p>,"1. 使用MindSpore Quantum 0.10.0复现论文中的图2和图3；
2. 提交规范的技术报告，需讨论a.针对给定的模型如何设计变分Clifford线路；b.阐述复现的薛定谔-海森堡变分算法；c.该方法的适用场景和局限性；
3. 相关评估指标符合要求，代码需要有适当的注释并通过clean code标准；
4. 最终项目代码需要通过审核并合入MindSpore Quantum代码仓。
"
基于算子学习的疾病负担外推与以糖网为例的气象环境——基因互作下的代谢病解析,进阶,"Deep Learning,Machine Learning",<p>1. 【项目1】全国/区域尺度的疾病负担预测模型：利用ERA6气象数据（高频率、高空间分辨率）与UK Biobank数据（低频率、精确样本位置）之间在经纬度和时间尺度上的积分或统计映射关系，探索算子学习或高保真模拟在疾病预测中的可行性以及输出全国尺度热力图预测。</p><p>2. 【项目2】UK Biobank样本级疾病研究子项目：将每位样本的时间与经纬度匹配气象背景，分析气象外因与基因内因对糖尿病视网膜病变发病非对称性的影响，包括气象-基因交互建模、个体糖网发病风险评估。</p>,"1.代码方面的验收标准：两个项目都请参考模型复现指南中的验收标准部分 https://paddlescience-docs.readthedocs.io/zh/latest/zh/reproduction/#3
2.论文方面的验收标准：任选1个项目，撰写一篇达到发表水平（EI检索）的论文
"
基于MindSpore NLP实现Open-R1算法,进阶,AI,<p>随着deepseek的开源，当前开源社区有不少deepseek-r1的复现实现，但是缺少mindspore的对标实现，本任务需要基于MindNLP（MindSpore动态图）+昇腾实现和huggingface Open-R1能力完全对标的R1算法实现。</p><p></p>,"1. 使用MindNLP实现Open-R1
2. 复现aha moment
3. 提交项目报告（ACL论文格式
4. 最终项目代码需要通过审核并合入MindSpore NLP仓。
"
基于MindSpore生成式套件，构建多智能的多Agent交互金融语音客服,进阶,AI,<p>基于MindSpore套件构建一个高效、安全的智能语音客服系统应用案例，以金融银行业务为例；语音交互层使用生成式套件的ASR + lm +TTS功能，用Dify搭建多智能体交互的多Agent协作引擎；包含的功能有语音导航与意图识别，金融产品推荐和风险提示，反欺诈，投诉与纠纷处理等；系统还需要具备隐私保护，审计溯源和防攻击能力。</p>,"1. 项目需应用MindSporeNLP和生成式套件的ASR + lm +TTS功能
2. 搭建多个业务智能体，包括认证，查询，投资顾问，投诉等；完成多个智能体交互和意图识别功能
3. 搭建后端服务层：大数据引擎用于用户画像；风控引擎用于规则和安全
"
Dromara孵化器网站优化建设和主网站优化,基础,Vue.js,<p>Dromara 是由顶尖开源项目维护者自发组织的开源社区。提供包括流行工具，安全认证，调度编排，前端和应用框架，AI等开源产品，累计获得 300K+ Star，服务成千上万团队。技术栈全面开源共建，保持社区中立。希望让每一位开源爱好者，体会到开源的快乐。</p><p></p><p>Dromara 开源社区目前拥有10+顶级项目和50+孵化器项目，我们的主服务和孵化器都有对应的官方网站。</p><p></p><p>此课题需要对两个官方网站 孵化器官网和主官网 进行UI风格统一设计，架构统一，页面完善优化，官网功能特性新增等，突出主官网和孵化器项目的展示，优化博客提交流程，编写官网使用文档等。</p>,"1. 优化完善孵化器网站UI页面和官网UI页面
2. 设计和完善网站内容展示
 - 2.1：顶级项目群和孵化器项目群的展示UI优化
3. 统一孵化器网站和官网的技术架构，升级使用最新对应的技术版本，提供相应的构建文档和本地部署文档等
4. 其它网站页面开发
"
基于MindSpore实现材料属性预测模型MatterSim的迁移开发,进阶,AI,<p>通过大规模的预训练，覆盖尽可能多的分子及晶体结构，得到高泛化性的力场及属性预测模型，成为一种趋势。</p><p>MatterSim在2024年由微软开发，对材料空间广泛覆盖，可以在多种体系和多种属性上进行精确预测。</p>,"1. 基于MindSpore+NPU，结合AI化学套件MindSpore Chemistry现有能力，实现材料属性预测模型MatterSim的迁移开发，并对齐论文精度和性能。
"
基于RISC-V架构的KubeVirt虚拟化支持与生态适配,进阶/Advanced,"RISC-V,Linux,Virtualization,AI,Cloud Native","<p style=""text-align:left;"" class=""MsoNormal"">        <strong><u><span style=""color:#292b33""><span style=""font-size:9ptpx""><span style=""background-color:#ffffff"">随着 RISC-V 架构在开源硬件领域的迅速发展，其在 AI 推理/训练和视频编解码等高性能计算场景中的应用潜力日益凸显。为了充分利用 RISC-V 的优势，构建支持分布式虚拟化直通的解决方案变得尤为重要。KubeVirt 作为 Kubernetes 的虚拟化扩展，为容器化环境中的虚拟机管理提供了强大的支持。然而，目前 KubeVirt 尚未原生支持 RISC-V 架构，这限制了其在新兴硬件平台上的应用。</span></span></span></u></strong></p><p style=""text-align:left;text-indent:2em;"" class=""MsoNormal""><strong><u><span style=""color:#292b33""><span style=""font-size:9ptpx""><span style=""background-color:#ffffff"">目前，已实现了在 RISC-V 上重构基本的容器镜像，并且构建工具链已适配 RISC-V 架构 。本项目旨在深入探索 RISC-V 的虚拟化特性，特别是结合 QEMU 和 KVM 的支持，完善 KubeVirt 在 RISC-V 上的适配工作。具体包括：实现对 RISC-V 虚拟化扩展的支持、提供分布式虚拟化直通的能力、确保与现有社区生态的兼容性等。</span></span></span></u></strong></p><p style=""text-align:left;text-indent:2em;"" class=""MsoNormal""><strong><u><span style=""color:#292b33""><span style=""font-size:9ptpx""><span style=""background-color:#ffffff"">通过本项目的实施，期望将 RISC-V 的支持合并到 KubeVirt 的上游社区，推动其在新兴硬件平台上的应用。这不仅有助于推动在云原生虚拟化领域的影响力，也为 AI 推理/训练和视频编解码等高性能计算场景提供坚实的基础。</span></span></span></u></strong></p>","
1. 为 KubeVirt 提供 RISC-V 虚拟机创建和直通支持
2. 为 Kubevirt RISC-V 支持开发虚拟化验证测试用例
3. 为上游社区合并提供自动化验证能力
4. 为适配方案编写技术文档与用户指南
"
为Zino框架实现AI服务抽象,进阶,"Web Application,RESTful API,AI",<p><code>Zino作为基于Rust语言的新一代组装式应用开发框架，目前对AI大模型服务的支持还不够完善。本项目旨在为Zino框架实现AI服务抽象，助力用户快速开发生成式AI应用，新添加的功能应该包括提示词模板、对话记忆、函数调用、RAG、智能体等。</code></p>,"1. 通过trait抽象集成国内外主流的大模型服务，并支持流式输出。
 - 
2. 实现对话记忆、函数调用、RAG检索、向量存储等功能的支持。
3. 提供一定的AI工作流编排能力。
"
为 Overleaf LaTeX 协作平台接入 LLM Copilot 功能,进阶/Advanced,"AI,Web Application","<p><a href=""\&quot;https://github.com/overleaf/overleaf\&quot;"" target=""\&quot;_blank\&quot;"">Overleaf</a> 是一款开源在线 LaTeX 协作平台，通过将 LaTeX 环境打包在服务器中，让用户无需在本地配置环境即可在浏览器上撰写 LaTeX 文档，还可以邀请好友加入协作，是各高校及研究人员的科研利器。</p><p>目前，Overleaf 主要面向其商业版开发，开源版本功能落后，很多核心功能缺失。我们希望能够维护一个完全开源的分支，尽力将商业版功能及其他科研中需要的功能加入进来。</p><p>本项目希望为 Overleaf 接入 LLM API，为 LaTeX 公式、格式等提供辅助写作(Copilot)功能，减少用户学习 LaTeX 的难度。</p>","
1. Overleaf LLM Copilot 功能
 - 1.1. 撰写 LLM API 后端，支持主流 API 提供商并按照用户鉴权，以及用户配额支持。
 - 1.2. 将后端整合至 Overleaf Monorepo 中，并编写相应的 Init 文件及 Docker 集成。
 - 1.3. 开发 Copilot 用户前端及管理前端。
 - 1.4. 撰写 LLM 接入相关文档。
2. GitBridge Git备份服务
 - 2.1. 通过 git+https 将项目文件备份至外部Git仓库
 - 2.2. 相关前端及文档
"
基于Agent实现数据分析报告场景应用,基础,"AI,Database,LLM","<p>背景：</p><p><span style=""color:#000000""><span style=""font-size:mediumpx"">AI Agent已成为企业数据分析领域的重要提效智能化手段，随着大模型技术从&quot;生成式对话&quot;向&quot;任务自动化&quot;加速演进，以及MCP、Manus等技术的发展，数据分析领域的分析工具目前的主流趋势还是人+Copilot的方式，大模型主要还是作为辅助工具。因此，如何借助MCP、Agent等实现数据分析</span>Manus，<span style=""font-size:mediumpx"">优化分析范式是数据分析领域重要的研究课题。需要在DB-GPT中开发新的数据分析应用，为AI Agent在数据分析领域提供可复用的技术范式</span></span></p><p></p><p><span style=""color:#000000""><span style=""font-size:mediumpx"">预期目标： </span></span></p><p><span style=""color:#000000""><span style=""font-size:mediumpx"">1. 全流程自动化分析Agent使数据分析更高效：基于自然语言自动化编排Agent+MCP实现趋势分析、多维洞察等智能数据分析能力</span></span></p><p><span style=""color:#000000""><span style=""font-size:mediumpx"">2. 端到端分析模式使数据分析更深入：全流程追溯中间分析过程和结果，并结合分析结果生成分析图表/归因结果/决策建议等分析报告 </span></span></p><p><span style=""color:#000000""><span style=""font-size:mediumpx"">3. 基于大模型及RAG等技术知识增强：私有业务知识检索增强，提升数据分析口径准确性</span></span></p>","1. 项目设计文档（含架构图、原理图、实现细节等）
2.  数据分析应用源代码（包含数据分析应用中的后端、前端代码等）
3. 数据分析使用文档（提供完整的使用教程文档）
4. 输出可复用的垂直场景模板（提供垂直场景最佳实践演示demo、测试数据集）
"
基于 Dubbo Triple 协议的零信任、高性能、可靠 Steaming 能力实现,进阶,"Web Application,Spring Cloud,JWT,OAuth,OpenIDConnect",<h2>背景</h2><p>Dubbo Triple 是 Apache Dubbo 推出的新一代基于 HTTP/2 的 RPC 协议，兼容 gRPC，支持 RESTful 风格、Streaming 通信、HTTP/3 等特性，适用于构建现代云原生微服务架构。本任务旨在围绕 Dubbo Triple 协议，构建一个完整的微服务通信框架，涵盖接口定义、认证授权、安全通信、性能优化及流式通信等关键功能。</p><h2><br/>目标</h2><h3><br/>1. 基于 OpenAPI 的接口定义与代码生成</h3><ul><li>完善 Dubbo 生成 OpenAPI 的使用文档、用例、教程</li><li>对接 OpenAPI Generator 生态，支持通过 OpenAPI Specification 生成 Dubbo Triple 协议的服务端和客户端代码模板</li></ul><h3><br/>2. 认证（Authn）机制集成</h3><ul><li>实现 ACME 协议的支持，集成 cert-manager 和 Let&#x27;s Encrypt，实现自动化证书管理 。</li><li>支持 xDS 协议，与服务网格（如 Istio）环境集成，实现动态配置和证书分发 。</li><li>实现 JWKS（JSON Web Key Set）机制，验证 JWT 签名，确保通信的安全性。</li></ul><h3><br/>3. 授权（Authz）机制实现</h3><p>支持常见的 OAuth 2.0 授权流程，如授权码模式、客户端凭证模式等，确保资源的安全访问 。</p><h3><br/>4. 性能优化：零拷贝数据处理</h3><p>实现请求和返回数据的零拷贝读写，减少内存复制，提高数据处理效率。</p><h3><br/>5. 可靠的 Streaming 通信模式设计与实现</h3><p>在 Triple Streaming 通信模型的基础上，设计支持网络抖动、进程重启等异常情况的编程 API 模型，确保用户可以低成本构建可靠的 Streaming 通信功能<br/></p>,"1. 提供完整的代码实现，满足项目描述中要求的能力
2. 提供详细的文档，涵盖使用说明、API 文档等
"
量子启发算法超参数搜寻模块开发,基础,AI,<p>任务背景：</p><p>通过量子启发式算法求解组合优化问题时，优化结果会受到量子启发算法中的超参数选取的显著影响。对于合适超参数的搜寻，目前通常是基于经验调整或者进行暴力的参数搜索，这往往会耗费很多时间。本问题希望针对量子启发算法的特性，开发对应的自动化量子启发算法超参数寻优流程，以提升量子启发算法最优超参数的搜寻效率。</p><p>任务需求：</p><p>针对bSB、dSB、CAC和CFC这四种典型的量子启发算法，在四种典型的二值组合优化问题下（变量取值±1）开发对应的量子启发算法超参数优化策略。具体四类组合优化问题包括：</p><p>1、一般形式的二阶二值优化问题；</p><p>2、一般形式的高阶二值优化问题（最高8阶）；</p><p>3、特殊的高阶二值优化问题1——任意3阶二值问题表达式的平方；</p><p>4、特殊的高阶二值优化问题2——任意两个3阶二值问题表达式的平方求商，通过Dinkelback方法转化出的高阶二值优化问题</p><p></p>,"1. 针对需求描述中给出的4种典型的问题，基于提供的数据集（4种典型问题，每个问题50个数据集，合计200个），算法有60%的结果优于基线方法给出的结果。
对于一般形式的二值优化问题，基线为MindSpore Quantum的QAIA库中的默任参数；对于其他问题，基线为QAIA算法+现有的调参模块hyperopt在相同时间内给出的优化结果（代码的运行时间包括参数搜索部分耗时）；
2. 提交详细的技术报告，包括：（1）对代码采用的参数搜寻策略的详细分析，（2）bSB、dSB、CAC和CFC算法下代码针对200个数据集的优化结果和基线结果的比较分析；
3. 相关评估指标符合要求，代码需要有适当的注释并通过clean code标准；
4. 最终项目代码需要通过审核并合入 MindSpore Quantum代码仓。
"
飞桨PaddleNLP-前沿模型模块化设计,进阶,"Natural Language Processing (NLP),AI",<p>目前LLM模型结构迭代迅速，适用于多种领域的多样模型不断涌现，为社区带来蓬勃生机。但是，在模型构造上也存在多种多样的问题，初学者想要构造或者修改完整模型结构较为困难，同时性能优化手段需要多次重复在不用模型上实现和验证，较为费时费力。本选题目标为实现前沿模型模块化设计，并通过libcst等工具实现源码分析和转换的功能。最终目标期望基于Llama模型结构自动化实现Qwen2等模型的自动化构造。</p>,"1. PaddleNLP套件支持前沿模型模块化构造
2. PaddleNLP套件Qwen2模型结构可通过模块化设计生成，并通过前后精度验证。
3. PaddleNLP套件Qwen2模型并行能力可通过模块化设计生成，并通过前后精度验证。
"
GCC-Fortran 的 Function Multi-Versioning 功能实现,进阶,GCC,<p>Fortran 是一种特别适用于数值计算和科学计算的编程语言，这样的程序往往很容易被CPU的指令集扩展所加速，如 AVX2 、 AVX512 等等。然而，如果我们直接通过 &#x60;-march&#x60; 或 &#x60;-mcpu&#x60; 指定指令集扩展，会导致所编译的程序二进制失去跨平台兼容能力。此外，对于程序中的某些部分，编译时选择最佳的指令集扩展有时反而会引入显著的性能下降。因此，在函数粒度对函数多版本行为进行控制，不仅能够保证程序二进制的跨平台兼容性，同时还能够提升程序的性能。</p><p></p><p>在 GCC 中，我们可以在 C / C++ 通过 target 和 target_clones 两个 attribute 使编译器为函数生成支持不同指令集扩展集合的版本，并在运行时根据CPU所支持的指令集扩展选择其能够支持的最佳的函数。然而，GCC 中尚且缺乏对 Fortran 的函数多版本支持。</p><p></p>,"1. 基于 GCC master 分支，为 Fortran 语言的 subroutine 与 function 声明添加 target / target_clones 的 ATTRIBUTES 支持。
2. 将该实现提交给开源上游
"
