标题,链接,发布人,发布日期,附件名称,附件链接,附件下载量
关于2024-2025学年第二学期2023级、2024级体育理论教室安排的通知,https://jwch.fzu.edu.cn/../info/1036/14055.htm,【教学运行】,2025-05-14,,,
关于举办福州大学第六十九期“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/../info/1040/14054.htm,【质量办】,2025-05-14,,,
关于2024-2025学年第二学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14053.htm,【教学运行】,2025-05-12,2402习概随堂考.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15784368,235
关于2024-2025学年第二学期计算机语言类课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14052.htm,【教学运行】,2025-05-12,2402计算机语言类期末考-5.24.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15784367,512
关于2024-2025学年第二学期《线性代数》、《线性代数与解析几何》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14051.htm,【教学运行】,2025-05-12,2402线性代数、线性代数与解析几何期末考-5.25下午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15784365,275
关于做好2023年、2024年本科生科研训练计划项目结题工作的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14050,【实践科】,2025-05-12,,,
关于组织申报2025-2026学年第一学期通识教育选修课的通知,https://jwch.fzu.edu.cn/../info/1038/14048.htm,【计划科】,2025-05-12,,,
关于公布第十五届大学生节能减排社会实践与科技竞赛暨第十一届材料创新、设计及应用竞赛获奖名单的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14045,【实践科】,2025-05-09,,,
关于开展2025年度教师本科教学综合测评工作的通知,https://jwch.fzu.edu.cn/../info/1040/14044.htm,【质量办】,2025-05-09,附件1-7.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15783740,416
关于开展2025年度教师本科教学综合测评工作的通知,https://jwch.fzu.edu.cn/../info/1012/14043.htm,【教学通知】,2025-05-09,关于开展2025年度教师本科教学综合测评工作的通知.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15783736,467
福州大学关于公布2023级数理综合班 专业分流学生名单及学科导师名单的通知,https://jwch.fzu.edu.cn/../info/1037/14042.htm,【教研教改】,2025-05-09,,,
2024-2025学年第二学期在校学生申请辅修专业的通知,https://jwch.fzu.edu.cn/../info/1038/14038.htm,【计划科】,2025-05-06,,,
关于举办福州大学第六十八场“教学有道”暨第二期智慧教学课程平台与AI智慧教学工具培训的通知,https://jwch.fzu.edu.cn/../info/1040/14037.htm,【质量办】,2025-05-06,,,
关于举办2025年福州大学第二十五届数学竞赛暨第十七届全国大学生数学竞赛福建赛区选拔赛的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14034,【实践科】,2025-04-30,,,
关于公布2025年（总第三十一期）本科生科研训练计划立项项目的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14033,【实践科】,2025-04-30,,,
关于期中党政领导集中听课的通知,https://jwch.fzu.edu.cn/../info/1040/14032.htm,【质量办】,2025-04-27,附件1：福州大学课堂教学质量评估表.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15781690,171
关于期中党政领导集中听课的通知,https://jwch.fzu.edu.cn/../info/1040/14032.htm,【质量办】,2025-04-27,附件2：第10-12周课表.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15781691,317
福州大学关于公布第二十二届程序设计竞赛获奖名单的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14020,【实践科】,2025-04-24,,,
关于开展2025届本科毕业设计（论文）抽检送审工作的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14018,【实践科】,2025-04-24,,,
关于福州大学第六十八场“教学有道”研讨活动延期举行的通知,https://jwch.fzu.edu.cn/../info/1040/14017.htm,【质量办】,2025-04-24,,,
关于2025年劳动节放假课程调整的通知,https://jwch.fzu.edu.cn/../info/1036/14016.htm,【教学运行】,2025-04-24,,,
关于2024-2025学年第二学期《工程制图E》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14012.htm,【教学运行】,2025-04-23,2402工程制图E期末考-5.18上午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15780905,210
关于举办福州大学第六十八场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/../info/1040/14011.htm,【质量办】,2025-04-23,,,
关于举办福州大学第九届网络信息安全竞赛的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14010,【实践科】,2025-04-22,,,
关于组织申报2025年大学生劳动教育实践基地的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14008,【实践科】,2025-04-22,,,
关于2024-2025学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程半期考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/14007.htm,【教学运行】,2025-04-22,2402高数半期考-5.11下午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15780740,492
关于开展2025届本科毕业生在校学习体验调研的通知,https://jwch.fzu.edu.cn/../info/1040/14006.htm,【质量办】,2025-04-22,,,
关于开展2025届本科毕业生在校学习体验调研的通知,https://jwch.fzu.edu.cn/../info/1012/14005.htm,【教学通知】,2025-04-22,,,
关于2026届预计毕业生核对电子注册学历信息的通知,https://jwch.fzu.edu.cn/../info/1036/14002.htm,【教学运行】,2025-04-17,,,
关于举办2025年福州大学大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13999,【实践科】,2025-04-16,,,
关于举办福州大学第六十七场“教学有道”研讨活动——暨2025年全国周培源大学生力学竞赛进校园活动的通知,https://jwch.fzu.edu.cn/../info/1040/13997.htm,【质量办】,2025-04-16,,,
关于举办福州大学第十五届大学生节能减排社会实践与科技竞赛暨第十一届材料创新、设计及应用竞赛的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13995,【实践科】,2025-04-15,,,
关于举办福州大学第十九届数学建模竞赛暨2025年“高教社杯”全国大学生数学建模竞赛选拔赛的通知,https://jwch.fzu.edu.cn/../info/1039/13993.htm,【实践科】,2025-04-14,附件.zip,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15775875,349
2025年福建省高校教材联合巡展 （福州大学）活动通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13991,【教材中心】,2025-04-11,,,
关于2024-2025学年第二学期《线性代数》课程半期考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13989.htm,【教学运行】,2025-04-11,2402线代半期考-4.26晚上.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15775021,268
关于2025届预计毕业生补拍电子注册学历照片的通知,https://jwch.fzu.edu.cn/../info/1036/13988.htm,【教学运行】,2025-04-10,附件3：获得图像采集码途径.pdf,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774886,262
关于2025届预计毕业生补拍电子注册学历照片的通知,https://jwch.fzu.edu.cn/../info/1036/13988.htm,【教学运行】,2025-04-10,附件1：行政北楼平面图.pdf,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774887,201
关于2025届预计毕业生补拍电子注册学历照片的通知,https://jwch.fzu.edu.cn/../info/1036/13988.htm,【教学运行】,2025-04-10,附件2：证件照拍摄要求.pdf,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774888,1823
福州大学关于公布2023级数理金融实验班 学生主辅修专业及导师名单的通知,https://jwch.fzu.edu.cn/../info/1037/13986.htm,【教研教改】,2025-04-09,,,
关于开展2025年春季学期本科实验教学专项检查的通知,https://jwch.fzu.edu.cn/../info/1040/13983.htm,【质量办】,2025-04-08,附件.rar,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15773204,349
关于开展2024年新上岗教师课堂授课达标考核的通知,https://jwch.fzu.edu.cn/../info/1040/13982.htm,【质量办】,2025-04-07,附件2：2024年新上岗教师课堂授课达标考核情况汇总表---需一式三份报教评中心.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15771692,257
关于开展2024年新上岗教师课堂授课达标考核的通知,https://jwch.fzu.edu.cn/../info/1040/13982.htm,【质量办】,2025-04-07,附件1：2024年福州大学新上岗教师达标培训班名单.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15771690,340
关于举办福州大学第六十六场“教学有道”暨第一期智慧教学课程平台与AI智慧教学工具培训的通知,https://jwch.fzu.edu.cn/../info/1040/13981.htm,【质量办】,2025-04-07,,,
关于开展大学生校外实践教学基地检查评估工作的通知,https://jwch.fzu.edu.cn/../info/1039/13977.htm,【实践科】,2025-04-02,附件1：福州大学大学生校外实践教学基地检查评估汇总表.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770743,309
关于开展大学生校外实践教学基地检查评估工作的通知,https://jwch.fzu.edu.cn/../info/1039/13977.htm,【实践科】,2025-04-02,附件2：福州大学大学生校外实践教学基地检查评估表.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770744,338
关于2025年清明节放假课程调整的通知,https://jwch.fzu.edu.cn/../info/1036/13976.htm,【教学运行】,2025-04-01,,,
关于2024-2025学年第二学期《大学物理A（上）》、《大学物理B（上）》课程半期考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13974.htm,【教学运行】,2025-04-01,2402大物A上、B上半期考-4.13下午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770526,542
关于组织开展第十八届中国大学生计算机设计大赛校内预选赛的通知,https://jwch.fzu.edu.cn/../info/1039/13973.htm,【实践科】,2025-03-31,,,
关于举办福州大学第二十二届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,https://jwch.fzu.edu.cn/../info/1039/13948.htm,【实践科】,2025-03-24,,,
关于2024-2025学年第二学期《概率论与数理统计》课程半期考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13947.htm,【教学运行】,2025-03-24,2402概率论半期考-4.13下午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15767966,370
关于举办第六十五场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/../info/1040/13945.htm,【质量办】,2025-03-20,,,
关于举办福州大学第十六届企业经营模拟沙盘对抗赛的通知,https://jwch.fzu.edu.cn/../info/1039/13935.htm,【实践科】,2025-03-19,附件：福州大学第十六届企业经营模拟沙盘对抗赛报名表.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15766807,769
关于做好2025-2026学年第一学期排课准备工作的通知,https://jwch.fzu.edu.cn/../info/1036/13908.htm,【教学运行】,2025-03-11,,,
关于2024-2025学年第二学期爱课程平台参加通识教育选修课学习的重要提示,https://jwch.fzu.edu.cn/../info/1038/13907.htm,【计划科】,2025-03-11,,,
关于举办福州大学第六十四场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/../info/1040/13905.htm,【质量办】,2025-03-11,,,
关于做好2025年3月退役复学学生转专业的通知,https://jwch.fzu.edu.cn/../info/1036/13904.htm,【教学运行】,2025-03-10,福州大学参军退伍复学后学生转专业审批表.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15764381,376
关于做好2025年3月退役复学学生转专业的通知,https://jwch.fzu.edu.cn/../info/1036/13904.htm,【教学运行】,2025-03-10,福州大学本科生转专业管理实施办法 .doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15764380,358
关于2024-2025学年第二学期重新学习选课、缴费的通知,https://jwch.fzu.edu.cn/../info/1036/13903.htm,【教学运行】,2025-03-10,,,
关于开展2025年春季学期申请类督导听课工作的通知,https://jwch.fzu.edu.cn/../info/1040/13901.htm,【质量办】,2025-03-07,附件：2025年春季学期申请类督导听课汇总表.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15764095,276
关于举办福州大学第五届先进成图技术与产品信息建模创新大赛的通知,https://jwch.fzu.edu.cn/../info/1039/13900.htm,【实践科】,2025-03-06,附件2：第五届福州大学先进成图技术与产品信息建模创新大赛报名表.xls,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15763874,487
关于举办福州大学第十四届大学生软件设计与服务外包创新创业竞赛的通知,https://jwch.fzu.edu.cn/../info/1039/13898.htm,【实践科】,2025-03-06,,,
关于做好创新创业实践与素质拓展学分认定工作的通知,https://jwch.fzu.edu.cn/../info/1039/13893.htm,【实践科】,2025-03-04,附件1：本科生创新创业实践与素质拓展学分认定汇总表（2025年版）.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15763390,3003
关于做好创新创业实践与素质拓展学分认定工作的通知,https://jwch.fzu.edu.cn/../info/1039/13893.htm,【实践科】,2025-03-04,附件2：本科生创新创业实践与素质拓展学分认定申请表（2025年版）.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15763405,2460
关于公布2024-2025学年第二学期通选课取消开课名单的通知,https://jwch.fzu.edu.cn/../info/1038/13890.htm,【计划科】,2025-03-03,,,
关于2024-2025学年第二学期本科生学生证补办和火车票优惠区间更改的通知,https://jwch.fzu.edu.cn/../info/1035/13884.htm,【综合科】,2025-02-24,,,
关于推荐遴选校级本科教学督导员的通知,https://jwch.fzu.edu.cn/../info/1040/13883.htm,【质量办】,2025-02-24,附件：福州大学本科教学督导员推荐表.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761796,329
关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/../info/1040/13882.htm,【质量办】,2025-02-23,附件1：福州大学课堂教学质量评估表.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761249,346
关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/../info/1040/13882.htm,【质量办】,2025-02-23,附件2：福州大学课堂教学质量评估表（思政课）.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761250,301
关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/../info/1040/13882.htm,【质量办】,2025-02-23,附件3：2024-2025学年第二学期第一周课表.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761251,453
关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/../info/1040/13882.htm,【质量办】,2025-02-23,附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761252,332
关于2024-2025第二学期学期选课、辅修选课补退选和缴费的通知,https://jwch.fzu.edu.cn/../info/1036/13881.htm,【教学运行】,2025-02-23,,,
关于2024-2025学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,https://jwch.fzu.edu.cn/../info/1038/13880.htm,【计划科】,2025-02-22,2024-2025学年第二学期国情课列表.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761212,820
关于通识教育选修课《国际化拔尖创新人才科研训练2025春》宣讲会及选课的通知,https://jwch.fzu.edu.cn/../info/1038/13879.htm,【计划科】,2025-02-22,2025年春季国际化拔尖创新人才科研训练具体课程清单.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761347,1506
关于2024级学生参加2024-2025学年第二学期《大学生国家安全教育》课程学习的通知,https://jwch.fzu.edu.cn/../info/1038/13878.htm,【计划科】,2025-02-22,超星尔雅使用手册（学生版）.pdf,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761200,800
关于2024-2025学年第二学期通识教育选修课选课的通知,https://jwch.fzu.edu.cn/../info/1038/13877.htm,【计划科】,2025-02-22,超星尔雅使用手册（学生版）.pdf,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761197,1931
关于2024-2025学年第二学期通识教育选修课选课的通知,https://jwch.fzu.edu.cn/../info/1038/13877.htm,【计划科】,2025-02-22,慕课堂学生操作手册.pdf,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761198,2458
关于2024-2025学年第二学期通识教育选修课选课的通知,https://jwch.fzu.edu.cn/../info/1038/13877.htm,【计划科】,2025-02-22,智慧树学生手册2025春夏.pptx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761199,1710
关于2024-2025学年第二学期教材发放的通知,https://jwch.fzu.edu.cn/../info/1042/13876.htm,【教材中心】,2025-02-22,,,
关于召开2024-2025学年春季学期期初本科教育教学工作会议的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13875,【综合科】,2025-02-22,,,
教务处关于2025年寒假用印安排的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13871,【综合科】,2025-01-18,,,
福州大学关于收集线上课程资源需求的通知（2025年）,https://jwch.fzu.edu.cn/../info/1037/13861.htm,【教研教改】,2025-01-15,,,
关于做好第三十一期本科生科研训练计划项目立项申报工作的通知,https://jwch.fzu.edu.cn/../info/1039/13858.htm,【实践科】,2025-01-13,第31期SRTP附件.zip,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15756794,3742
关于印发《福州大学本科生课程替代与学分认定管理实施办法》的通知,https://jwch.fzu.edu.cn/../info/1038/13857.htm,【计划科】,2025-01-10,,,
关于2025年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课程教室安排的通知,https://jwch.fzu.edu.cn/../info/1036/13853.htm,【教学运行】,2025-01-08,2025年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课安排.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15756207,1139
关于2024-2025学年第二学期辅修专业选课的通知,https://jwch.fzu.edu.cn/../info/1036/13852.htm,【教学运行】,2025-01-07,,,
关于2025届预计毕业生校对电子注册学历照片的通知,https://jwch.fzu.edu.cn/../info/1036/13851.htm,【教学运行】,2025-01-07,,,
关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,https://jwch.fzu.edu.cn/../info/1012/13848.htm,【教学通知】,2025-01-04,,,
关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13847,【综合科】,2025-01-04,,,
关于核对2024-2025学年第二学期通识教育选修课开课信息的有关通知,https://jwch.fzu.edu.cn/../info/1038/13841.htm,【计划科】,2025-01-02,,,
福州大学关于印发授予普通全日制学生学士学位工作细则的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=13842,【教学运行】,2024-12-31,,,
关于开展2025年拟出版本科教材审核工作的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840,【教材中心】,2024-12-31,,,
关于对2024年学院教学有关数据进行统计的通知,https://jwch.fzu.edu.cn/../info/1039/13836.htm,【实践科】,2024-12-30,2024年学院教学有关数据统计表格.zip,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742546,755
关于举办福州大学第十一届桥梁设计大赛的通知,https://jwch.fzu.edu.cn/../info/1039/13834.htm,【实践科】,2024-12-30,附件2：福州大学第十一届桥梁设计大赛报名表.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742381,557
关于举办福州大学第十一届桥梁设计大赛的通知,https://jwch.fzu.edu.cn/../info/1039/13834.htm,【实践科】,2024-12-30,附件3：福州大学第十一届桥梁设计大赛-竞赛细则.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742380,760
关于2024-2025学年第一学期《大学物理A（下）》和《大学物理B（下）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13833.htm,【教学运行】,2024-12-29,2401大学物理A下、B下期末考-1.17上午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742324,508
关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》和《高等数学D》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13831.htm,【教学运行】,2024-12-29,2401高等数学C上、D期末考-1.16下午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742323,520
关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》和《高等数学D》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13831.htm,【教学运行】,2024-12-29,2401高等数学A上、B上期末考-1.16上午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15742322,748
关于做好期末复习考试及下学期开学等工作的通知,https://jwch.fzu.edu.cn/../info/1036/13820.htm,【教学运行】,2024-12-27,,,
关于开展本科教材工作自查的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13819,【教材中心】,2024-12-25,,,
关于2024-2025学年第一学期《工程制图C（上）》、《工程制图D》和《工程制图F》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13815.htm,【教学运行】,2024-12-25,2401制图C（上）、D、F期末考-1.13下午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647296,589
关于2024-2025学年第一学期《大学英语（二）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13814.htm,【教学运行】,2024-12-25,2401英语二期末考-1.11上、下午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647283,554
关于2024-2025学年第一学期《大学英语（一）》和《大学英语（三）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13813.htm,【教学运行】,2024-12-25,2401英语一、三期末考-1.10.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15647279,422
关于2025年元旦放假课程调整的通知,https://jwch.fzu.edu.cn/../info/1036/13812.htm,【教学运行】,2024-12-25,,,
关于举办福州大学第六十三场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/../info/1040/13810.htm,【质量办】,2024-12-24,,,
关于公布2024年福州大学大学生工程实践与创新能力大赛获奖名单的通知,https://jwch.fzu.edu.cn/../info/1039/13808.htm,【实践科】,2024-12-24,,,
关于2024-2025学年第一学期《思想道德与法治》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13806.htm,【教学运行】,2024-12-24,2401思法随堂考.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15646936,1156
关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13805.htm,【教学运行】,2024-12-24,2401线性代数、线性代数与解析几何期末考-1.5上午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15646935,483
关于2024-2025学年第二学期本科生学期选课的通知,https://jwch.fzu.edu.cn/../info/1036/13804.htm,【教学运行】,2024-12-23,,,
关于制定学院本科教学督导工作管理实施办法的通知,https://jwch.fzu.edu.cn/../info/1040/13801.htm,【质量办】,2024-12-18,附件1：福大教评24-3-福州大学关于印发本科教学督导工作管理实施办法的通知.pdf,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15646301,570
关于制定学院本科教学督导工作管理实施办法的通知,https://jwch.fzu.edu.cn/../info/1040/13801.htm,【质量办】,2024-12-18,附件2：学院本科教学督导组名单.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15646302,577
关于上报学院本科教育教学质量保障2024年工作总结和2025年工作计划的通知,https://jwch.fzu.edu.cn/../info/1040/13797.htm,【质量办】,2024-12-18,,,
关于2024-2025学年第一学期《中国近现代史纲要》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13796.htm,【教学运行】,2024-12-17,2401史纲随堂考.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15645108,736
关于2024-2025学年第一学期《大学英语（四）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13795.htm,【教学运行】,2024-12-17,2401英语四期末考-12.29上午.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15645107,896
